Date,Description,Investment,Asset Code,Pot,Account,No. Shares,Share Price (£),Total Value (£)
11-Apr-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.103,24.9836,2.57
11-Apr-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.0728,21.181,1.54
11-Apr-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.0572,15.6273,0.89
11-Apr-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0215,89.4662,1.92
11-Apr-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,0.7446,7.83,5.83
11-Apr-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0282,41.1458,1.16
11-Apr-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0126,33.6403,0.42
11-Apr-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.3486,7.534,2.63
11-Apr-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.178,9.9904,1.78
11-Apr-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0063,352.4923,2.22
11-Apr-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0303,351.1509,10.64
11-Apr-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0112,137.4529,1.54
11-Apr-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.067,16.4608,1.1
11-Apr-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.1686,33.7451,5.69
11-Apr-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.0501,19.0195,0.95
11-Apr-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.1091,13.6553,1.49
11-Apr-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.0893,12.022,1.07
11-Apr-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0144,28.527,0.41
11-Apr-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0021,218.4044,0.46
11-Apr-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0393,22.0396,0.87
11-Apr-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.1778,11.1178,1.98
11-Apr-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.0863,32.8396,2.83
07-Apr-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.1308,13.75,1.8
07-Apr-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,0.6863,7.856,5.39
07-Apr-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0156,351.15,5.48
07-Apr-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.0549,16.5522,0.91
07-Apr-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.0565,25.2245,1.43
07-Apr-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.1211,9.983,1.21
07-Apr-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.5794,7.4689,4.33
07-Apr-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.0539,19.0349,1.03
07-Apr-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0096,89.1667,0.86
07-Apr-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0068,137.4831,0.93
07-Apr-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.2815,33.46,9.42
07-Apr-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0275,40.8358,1.12
07-Apr-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0057,354.6622,2.02
07-Apr-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.0885,20.9334,1.85
07-Apr-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0084,21.7607,0.18
07-Apr-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.0757,32.7998,2.48
07-Apr-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.0623,12.0579,0.75
07-Apr-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.1052,11.2584,1.18
07-Apr-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0091,28.8786,0.26
07-Apr-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0007,216.3043,0.15
01-Apr-22,Fee,CASH,N/A,My Nutmeg Pot,ISA,0,0,6.81
31-Mar-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0233,33.9769,0.79
31-Mar-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2024,25.4179,5.14
31-Mar-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.1424,21.8205,3.11
31-Mar-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1003,15.8991,1.59
31-Mar-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.3492,11.6996,4.09
31-Mar-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0219,138.0652,3.02
31-Mar-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.3295,33.37,11
31-Mar-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.1754,12.3696,2.17
31-Mar-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0774,21.5938,1.67
31-Mar-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.0982,19.251,1.89
31-Mar-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.1315,17.0784,2.25
31-Mar-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0554,41.0858,2.28
31-Mar-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,1.4602,8.065,11.78
31-Mar-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0424,92.1827,3.91
31-Mar-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.1692,33.0038,5.58
31-Mar-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.3496,10.192,3.56
31-Mar-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.2137,14.078,3.01
31-Mar-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0596,359.3,21.41
31-Mar-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.6814,7.443,5.07
31-Mar-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0124,366.4247,4.54
31-Mar-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0283,29.8384,0.84
31-Mar-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0042,224.1045,0.94
14-Mar-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,0.0061,32.5815,0.2
14-Mar-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.0562,12.929,0.73
14-Mar-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,0.3836,7.4082,2.84
14-Mar-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0145,38.4508,0.56
14-Mar-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.0375,20.714,0.78
14-Mar-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.0345,15.5982,0.54
14-Mar-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.0299,18.7121,0.56
14-Mar-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0058,128.9519,0.75
14-Mar-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.0866,31.8106,2.75
14-Mar-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.179,7.1001,1.27
14-Mar-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.0968,9.4761,0.92
14-Mar-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.0264,15.0957,0.4
14-Mar-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0156,332.6714,5.19
14-Mar-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.0461,11.3859,0.52
14-Mar-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.0532,23.7471,1.26
14-Mar-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0033,349.4143,1.15
14-Mar-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0111,86.9883,0.97
14-Mar-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0203,20.2847,0.41
14-Mar-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.0444,31.7406,1.41
14-Mar-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.0917,11.1699,1.02
14-Mar-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0011,214.1957,0.24
14-Mar-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0075,29.4454,0.22
10-Mar-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.8207,127.58,104.7
10-Mar-22,Sale,XDN0,XDN0,My Nutmeg Pot,ISA,1.4322,37.28,53.39
10-Mar-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.0065,15.688,0.1
10-Mar-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.0199,20.25,0.4
10-Mar-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.105,14.6911,1.54
10-Mar-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0039,329.3,1.28
10-Mar-22,Purchase,UB23,UB23,My Nutmeg Pot,ISA,2.6104,32.01,83.56
10-Mar-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.1623,31.4406,5.1
10-Mar-22,Sale,CUS1,CUS1,My Nutmeg Pot,ISA,0.2397,343.4,82.31
10-Mar-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.0554,24.2369,1.34
10-Mar-22,Sale,UC87,UC87,My Nutmeg Pot,ISA,0.0054,18.6193,0.1
10-Mar-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0066,29.4663,0.19
10-Mar-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.2467,30.9706,7.64
10-Mar-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.1956,11.2246,2.2
10-Mar-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,0.3334,7.4106,2.47
10-Mar-22,Sale,UB39,UB39,My Nutmeg Pot,ISA,0.5772,84.03,48.5
10-Mar-22,Sale,UC94,UC94,My Nutmeg Pot,ISA,0.0073,20.1104,0.15
10-Mar-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0016,205.7,0.33
10-Mar-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.338,7.0192,2.37
10-Mar-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.0985,11.352,1.12
10-Mar-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.0733,12.9596,0.95
09-Mar-22,Dividend,CASH,GSPX,My Nutmeg Pot,ISA,0,0,7.37
07-Mar-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,1.2017,9.559,11.49
07-Mar-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.3103,18.7301,5.81
07-Mar-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.5073,29.5806,15.01
07-Mar-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.049,344.7532,16.89
07-Mar-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,2.1771,6.8341,14.88
07-Mar-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.4255,16.0044,6.81
07-Mar-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.4456,20.3062,9.05
07-Mar-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0508,127.7376,6.49
07-Mar-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.1911,333.3645,63.71
07-Mar-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.1525,79.588,12.14
07-Mar-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.7381,12.9863,9.59
07-Mar-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.7135,24.1268,17.21
07-Mar-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,1.2014,11.1614,13.41
07-Mar-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.9179,30.6506,28.13
07-Mar-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.2164,35.7807,7.74
07-Mar-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.319,14.1182,4.5
07-Mar-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,4.6768,7.5135,35.14
07-Mar-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.5544,11.2488,6.24
07-Mar-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0139,193.3239,2.69
07-Mar-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0918,29.5389,2.71
07-Mar-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.2597,19.3802,5.03
01-Mar-22,Fee,CASH,N/A,My Nutmeg Pot,ISA,0,0,5.98
28-Feb-22,Sale,GSPX,GSPX,My Nutmeg Pot,ISA,13.5786,7.5486,102.5
28-Feb-22,Sale,UB39,UB39,My Nutmeg Pot,ISA,0.5805,87.35,50.71
28-Feb-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.1721,329.5381,56.71
28-Feb-22,Sale,EUSR,EUSR,My Nutmeg Pot,ISA,7.054,15.252,107.59
28-Feb-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,28.8866,7.277,210.21
24-Feb-22,Dividend,CASH,EUSR,My Nutmeg Pot,ISA,0,0,1.39
24-Feb-22,Dividend,CASH,AWSG,My Nutmeg Pot,ISA,0,0,1.57
24-Feb-22,Dividend,CASH,UB39,My Nutmeg Pot,ISA,0,0,2.78
24-Feb-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1785,14.9502,2.67
24-Feb-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0575,85.274,4.9
24-Feb-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2192,24.5389,5.38
24-Feb-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.2315,12.678,2.93
24-Feb-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0741,35.8643,2.66
24-Feb-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.1431,15.2655,2.18
24-Feb-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1069,17.6819,1.89
24-Feb-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.016,124.2199,1.99
24-Feb-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0159,324.3035,5.16
24-Feb-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,1.7216,7.1937,12.38
24-Feb-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.4501,7.1219,3.21
24-Feb-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.3796,9.0193,3.42
24-Feb-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.3773,11.2677,4.25
24-Feb-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.3584,31.9044,11.43
24-Feb-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.1549,20.0358,3.1
24-Feb-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.063,313.9919,19.78
24-Feb-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0045,206.0959,0.93
24-Feb-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.19,11.4878,2.18
24-Feb-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.182,31.3244,5.7
24-Feb-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0842,20.0412,1.69
24-Feb-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0307,29.4463,0.9
07-Feb-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.1762,340.5938,60.01
07-Feb-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.2071,40.1158,8.31
07-Feb-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.3994,16.8602,6.73
07-Feb-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0445,125.5035,5.58
07-Feb-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.4327,21.7608,9.42
07-Feb-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0443,340.5566,15.09
07-Feb-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.6121,26.0751,15.96
07-Feb-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,1.001,33.0507,33.08
07-Feb-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,1.06,9.654,10.23
07-Feb-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,1.2568,7.3865,9.28
07-Feb-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.4988,16.3533,8.16
07-Feb-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.1606,94.9292,15.25
07-Feb-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.6463,13.863,8.96
07-Feb-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.5307,12.1149,6.43
07-Feb-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.5082,33.8107,17.18
07-Feb-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,1.0536,11.7573,12.39
07-Feb-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.2987,18.5738,5.55
07-Feb-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0127,226.0045,2.87
07-Feb-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,4.808,7.9179,38.07
07-Feb-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.2349,21.1053,4.96
07-Feb-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0858,30.0466,2.58
02-Feb-22,Dividend,CASH,ISJP,My Nutmeg Pot,ISA,0,0,0.26
01-Feb-22,Fee,CASH,N/A,My Nutmeg Pot,ISA,0,0,3.99
31-Jan-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0152,334.3017,5.08
31-Jan-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.2211,13.77,3.04
31-Jan-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0603,336.8867,20.31
31-Jan-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0152,122.3521,1.86
31-Jan-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.3426,32.6957,11.2
31-Jan-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,1.6453,7.7871,12.81
31-Jan-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.055,94.6873,5.21
31-Jan-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.0804,21.2589,1.71
31-Jan-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.1739,33.7957,5.88
31-Jan-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2095,25.8336,5.41
31-Jan-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.4301,7.2981,3.14
31-Jan-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0294,29.7181,0.87
31-Jan-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0043,223.6045,0.96
31-Jan-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.148,20.9925,3.11
31-Jan-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.1367,16.6745,2.28
31-Jan-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1022,18.0609,1.85
31-Jan-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.1815,11.9172,2.16
31-Jan-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.3605,11.5793,4.17
31-Jan-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.3627,9.5748,3.47
31-Jan-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0708,39.8058,2.82
31-Jan-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1706,16.6221,2.84
27-Jan-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2886,25.5407,7.37
27-Jan-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.5165,9.4858,4.9
27-Jan-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.1142,39.3558,4.49
27-Jan-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.5284,32.7857,17.32
27-Jan-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.1677,20.9715,3.52
27-Jan-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,3.1664,16.448,52.08
27-Jan-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.017,334.5206,5.69
27-Jan-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.2102,16.46,3.46
27-Jan-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.0802,329.9496,26.46
27-Jan-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.6731,7.3121,4.92
27-Jan-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0684,94.1634,6.44
27-Jan-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,2.1241,7.6069,16.16
27-Jan-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.0219,123.2525,2.7
27-Jan-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.3096,13.6199,4.22
27-Jan-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.5321,11.4645,6.1
27-Jan-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.023,29.3931,0.68
27-Jan-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.2564,11.7532,3.01
27-Jan-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.1355,20.9748,2.84
27-Jan-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.232,33.6457,7.81
27-Jan-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1635,17.9987,2.94
27-Jan-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0047,223.0545,1.05
20-Jan-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,8.6572,21.1442,183.05
20-Jan-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,21.1459,9.8336,207.94
20-Jan-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,19.9457,33.1657,661.51
20-Jan-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,12.217,26.6934,326.11
20-Jan-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,4.1221,40.9808,168.93
20-Jan-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,6.2091,17.4137,108.12
20-Jan-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,9.9689,17.1587,171.05
20-Jan-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,21.0078,11.8609,249.17
20-Jan-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,12.8962,14.3703,185.32
20-Jan-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.888,128.7898,114.37
20-Jan-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,1.7235,29.8092,51.38
20-Jan-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.8869,348.1697,308.79
20-Jan-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,4.6749,21.7494,101.68
20-Jan-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,3.5174,341.7768,1202.17
20-Jan-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,96.0459,8.0035,768.7
20-Jan-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,10.1483,35.1757,356.97
20-Jan-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,10.5869,12.2383,129.57
20-Jan-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,5.9466,18.5628,110.39
20-Jan-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,3.2098,97.9947,314.54
20-Jan-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.2537,232.1046,58.88
20-Jan-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,25.0373,7.4081,185.48
17-Jan-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.652,33.2057,21.65
17-Jan-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.203,17.8466,3.62
17-Jan-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.3994,26.5636,10.61
17-Jan-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.283,21.9534,6.21
17-Jan-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.3258,17.3263,5.64
17-Jan-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,0.8184,7.4121,6.07
17-Jan-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.029,128.0562,3.71
17-Jan-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.6868,12.0971,8.31
17-Jan-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.3317,35.4707,11.77
17-Jan-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.029,360.1168,10.44
17-Jan-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.1049,99.1721,10.4
17-Jan-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.1347,41.4808,5.59
17-Jan-22,Purchase,CSP1,CSP1,My Nutmeg Pot,ISA,0.115,348.897,40.12
17-Jan-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.4216,14.6461,6.17
17-Jan-22,Purchase,UC94,UC94,My Nutmeg Pot,ISA,0.1529,21.9793,3.36
17-Jan-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1944,18.6681,3.63
17-Jan-22,Purchase,SUUS,SUUS,My Nutmeg Pot,ISA,0.6913,10.0149,6.92
17-Jan-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,0.3461,12.5676,4.35
17-Jan-22,Purchase,GSPX,GSPX,My Nutmeg Pot,ISA,3.1397,8.2067,25.77
17-Jan-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0656,30.6567,2.01
17-Jan-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0083,235.6047,1.96
13-Jan-22,Purchase,SRUG,SRUG,My Nutmeg Pot,ISA,0.1017,18.1808,1.85
13-Jan-22,Purchase,VUKE,VUKE,My Nutmeg Pot,ISA,0.3267,33.0107,10.78
13-Jan-22,Purchase,XDN0,XDN0,My Nutmeg Pot,ISA,0.0675,42.4458,2.87
13-Jan-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.2001,26.6705,5.34
13-Jan-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1633,17.3978,2.84
13-Jan-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.1418,22.1009,3.13
