Date,Description,Investment,Asset Code,Pot,Account,No. Shares,Share Price (£),Total Value (£)
27-Jun-22,Sale,EUSR,EUSR,My Nutmeg Pot,ISA,12.6004,14.4071,181.54
27-Jun-22,Sale,EMIM,EMIM,My Nutmeg Pot,ISA,11.3695,24.403,277.45
27-Jun-22,Purchase,CPJ1,CPJ1,My Nutmeg Pot,ISA,0.6544,128.9881,84.41
27-Jun-22,Sale,SUUS,SUUS,My Nutmeg Pot,ISA,37.5402,9.323,349.99
27-Jun-22,Purchase,CUS1,CUS1,My Nutmeg Pot,ISA,0.0434,332.6726,14.44
27-Jun-22,Purchase,XDUS,XDUS,My Nutmeg Pot,ISA,23.9169,90.068,2154.15
27-Jun-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,103.9387,7.0881,736.73
27-Jun-22,Sale,AWSG,AWSG,My Nutmeg Pot,ISA,26.7684,12.1253,324.57
27-Jun-22,Purchase,VERX,VERX,My Nutmeg Pot,ISA,28.4905,27.3545,779.34
27-Jun-22,Purchase,LCJG,LCJG,My Nutmeg Pot,ISA,2.6349,11.8563,31.24
27-Jun-22,Sale,UC94,UC94,My Nutmeg Pot,ISA,6.2649,19.2785,120.78
27-Jun-22,Purchase,UKSR,UKSR,My Nutmeg Pot,ISA,18.8051,15.3883,289.38
20-Jun-22,Purchase,CES1,CES1,My Nutmeg Pot,ISA,0.0107,202.7959,2.17
20-Jun-22,Purchase,UB39,UB39,My Nutmeg Pot,ISA,0.0909,81.165,7.38
20-Jun-22,Purchase,ISF,ISF,My Nutmeg Pot,ISA,3.4678,6.9329,24.04
20-Jun-22,Purchase,EMIM,EMIM,My Nutmeg Pot,ISA,0.4024,23.7517,9.56
20-Jun-22,Purchase,LCJP,LCJP,My Nutmeg Pot,ISA,0.3118,10.5473,3.29
20-Jun-22,Purchase,ISJP,ISJP,My Nutmeg Pot,ISA,0.0477,27.5357,1.31
20-Jun-22,Purchase,AWSG,AWSG,My Nutmeg Pot,ISA,0.3727,11.4982,4.29
20-Jun-22,Purchase,VMID,VMID,My Nutmeg Pot,ISA,0.3754,29.2344,10.97
20-Jun-22,Purchase,EUSR,EUSR,My Nutmeg Pot,ISA,0.1937,13.8589,2.68
20-Jun-22,Purchase,UC87,UC87,My Nutmeg Pot,ISA,0.1595,16.6466,2.66
20-Jun-22,Purchase,XSFN,XSFN,My Nutmeg Pot,ISA,0.2574,18.2069,4.69
